id,query
2b5bbd26-45e8-4768-ab8a-b5dc1d153ab7,"Answer the question with the appropriate options A, B, C and D. Please respond with the exact answer A, B, C or D only. Do not be verbose or provide extra information. 
Question: Who of these is the entrepreneur?
Answer Choices: A: Barack Obama, B: James Dyson, C: Damien Hirst, D: Mo Farah 
Answer:"
8a722080-bc16-49db-89c9-100cd61cd28a,"Answer the question with the appropriate options A, B, C and D. Please respond with the exact answer A, B, C or D only. Do not be verbose or provide extra information. 
Question: According to COSO, which of the following is the most effective method to transmit a message of ethical behavior throughout an organization?
Answer Choices: A: Demonstrating appropriate behavior by example., B: Strengthening internal audit’s ability to deter and report improper behavior., C: Removing pressures to meet unrealistic targets, particularly for short-term results., D: Specifying the competence levels for every job in an organization and translating those levels to requisite knowledge and skills. 
Answer:"
ff5b5d2e-5fa1-4709-a9a7-681e4d4585bd,"Answer the question with the appropriate options A, B, C and D. Please respond with the exact answer A, B, C or D only. Do not be verbose or provide extra information. 
Question: In what order do managers typically perform the managerial functions?
Answer Choices: A: organising, planning, controlling, leading, B: organising, leading, planning, controlling, C: planning, organising, leading, controlling, D: planning, organising, controlling, leading 
Answer:"
d7a45917-d0f9-476e-912d-ebc5af9333a1,"Answer the question with the appropriate options A, B, C and D. Please respond with the exact answer A, B, C or D only. Do not be verbose or provide extra information. 
Question: Joint creation of value, in which customers take part in an active dialogue and co-construct personalized experiences, is referred to as:
Answer Choices: A: Interactive marketing., B: Co-creation experience., C: Relationship marketing., D: Organization marketing. 
Answer:"
0925a4d7-8546-46a8-834f-20f58f16bc99,"Read the questions and answers carefully, and choose the one you think is appropriate among the three options A, B and C.
Q: ABC Asset Management, a licensed asset management firm in Thailand, is onboarding a new institutional client, XYZ Charitable Foundation. During the Know Your Customer (KYC) process, the compliance officer, Ms. B, observes that the foundation receives regular large wire transfers from multiple overseas donors located in countries identified by the Financial Action Task Force (FATF) as having weak anti-money laundering and counter-terrorist financing controls. While the stated purpose of the foundation is humanitarian aid, some of the donors are listed on international watchlists for suspected ties to terrorist organizations. Under time pressure to close the deal, the relationship manager, Mr. C, suggests that since there is no direct evidence linking the specific transactions to terrorism, ABC Asset Management can proceed with onboarding the client, provided they strengthen ongoing transaction monitoring. Ms. B is unsure whether to escalate the matter or simply flag the account for enhanced monitoring. Which of the following is the MOST appropriate action for ABC Asset Management in this scenario, according to BOT’s CFT guidelines and ethical obligations?

Options:
A. Escalate the case to senior management for their review and decision, but delay any reporting to AMLO until after a full internal investigation is completed.
B. Proceed with onboarding, but implement enhanced due diligence and ongoing transaction monitoring, reporting only if suspicious activity is detected after the account is opened.
C. Immediately file a suspicious transaction report (STR) with the Anti-Money Laundering Office (AMLO) and refuse to onboard XYZ Charitable Foundation until all concerns are resolved.
D. Onboard the client based on the foundation’s stated purpose and the absence of direct evidence of terrorist financing, while documenting the decision for future reference.
"
dc0aa42f-569d-4277-8149-b645f3cf9888,"Read the questions and answers carefully, and choose the one you think is appropriate among the three options A, B and C.
Q: ABC Asset Management, a licensed Thai financial institution, recently experienced a sophisticated phishing attack targeting client account managers. The attack resulted in unauthorized access to several client email addresses and partial exposure of sensitive investment portfolio data. Upon internal review, it was discovered that ABC had not conducted a cybersecurity risk assessment in over 18 months, and their incident response plan had not been updated since the prior year. The IT department, under pressure to minimize business disruption and reputational harm, suggests reporting only the minimum details of the breach to the Bank of Thailand (BOT) and postponing client notification until a full forensic investigation is complete. Compliance officers are aware of BOT’s 'Cybersecurity Guidelines for Financial Institutions' but are divided on the best course of action. As the Chief Compliance Officer, what is the most appropriate action ABC Asset Management should take, considering regulatory requirements and ethical standards?

Options:
A. Immediately report the cybersecurity incident to the BOT with all known details, initiate client notifications without undue delay, and begin a comprehensive review of the cybersecurity framework, including updating risk assessments and the incident response plan.
B. Report the incident to BOT with limited information, but assure clients that there is no immediate risk and update cybersecurity policies only after management approval.
C. Report only minimal details to the BOT, notify clients only if evidence of financial loss is found, and postpone updating internal cybersecurity policies until the next scheduled review.
D. Delay reporting to the BOT and client notification until the forensic investigation is fully complete, to ensure all facts are accurate and minimize reputational damage.
"
6caca908-0f01-43b8-a2f4-674d30d03891,"Read the questions and answers carefully, and choose the one you think is appropriate among the three options A, B and C.
Q: ABC Asset Management, a licensed financial institution in Thailand, has launched a new structured deposit product targeting retail clients. The product offers higher returns but involves complex derivatives that could result in capital loss under certain market conditions. Mr. A, a relationship manager, is under pressure to meet his quarterly sales targets and actively promotes the product to Mrs. B, a long-standing client who is 65 years old and indicates that she is seeking stable, low-risk investments for her retirement savings. Although Mrs. B expresses confusion about the product's risks, Mr. A provides her with promotional materials but does not fully explain the downside scenarios or assess her risk appetite as required. Mrs. B subsequently invests a significant portion of her savings into the product and later suffers a substantial loss. She files a complaint with the bank, alleging that she was not adequately informed of the risks and that the product was unsuitable for her investment profile. As the compliance officer at ABC Asset Management, you are tasked with evaluating whether there has been a breach of the Bank of Thailand's customer protection rules. 

Which of the following actions BEST addresses the regulatory and ethical issues in this case?

Options:
A. Advise Mrs. B to seek independent legal advice about her investment loss, as the bank fulfilled its obligation by providing promotional materials.
B. Reject the complaint on the grounds that Mrs. B signed the relevant documentation, indicating her consent to the investment, and emphasize that all investment involves some risk.
C. Acknowledge the complaint, conduct a thorough investigation, offer Mrs. B compensation if a breach is found, and implement enhanced staff training on product suitability and risk disclosure in accordance with BOT customer protection regulations.
D. Offer Mrs. B a partial refund as a gesture of goodwill, but do not investigate the conduct of Mr. A or review internal procedures, since her loss resulted from market movements.
"
4485f013-35ce-4f02-92a9-ae8299565de5,"Answer the question with the appropriate options A, B, C and D. Please respond with the exact answer A, B, C or D only. Do not be verbose or provide extra information. 
Question: What is the term for decisions limited by human capacity to absorb and analyse information?
Answer Choices: A: Cognitive rationality, B: Conscious rationality, C: Bounded rationality, D: Restricted rationality 
Answer:"
aa5ad602-ac8c-428f-8d08-c7170638b851,"Answer the question with the appropriate options A, B, C and D. Please respond with the exact answer A, B, C or D only. Do not be verbose or provide extra information. 
Question: Which of the following would most effectively act as the primary objective of a business organisation?
Answer Choices: A: To make a profit, B: To procure resources, C: To communicate with shareholders, D: To mediate between the organisation and the environment 
Answer:"
9c4775a4-f5ca-49e9-815f-d6491ed0612e,"Answer the question with the appropriate options A, B, C and D. Please respond with the exact answer A, B, C or D only. Do not be verbose or provide extra information. 
Question:  McDonald's and KFC are good examples of:
Answer Choices: A: Distributors., B: Franchising., C: Merchant., D: Retailers. 
Answer:"
